,calories,carbs,description,fat,ingredients,protein,rating,reviews,title
191,366kcal,33.8g,"&#34;Chocolate and lamb in chili? Of Course!!!  This is a wonderful chili recipe, concocted by my son Bryan.  We use Icelandic lamb because it is really lean.  Lean lamb is a must.&#34;",16.4g,"['1 medium onion, chopped', '1 pound lean ground lamb', '2 tablespoons olive oil', '1/2 teaspoon red pepper flakes', '1/2 tablespoon dried basil', '1 teaspoon cumin', '1/8 teaspoon cinnamon', '2 large cloves garlic, minced', '3 1/2 tablespoons chili powder', '1/2 teaspoon dried oregano', '1 teaspoon unsweetened cocoa powder', '1 teaspoon white sugar', '1 bay leaf', 'salt and pepper to taste', '1 (14.5 ounce) can diced tomatoes with juice', '4 cups red beans, with liquid']",22.6g,4.50,29,Bry's Chocolate Lamb Chili Recipe - Allrecipes.com
192,487kcal,53.7g,&#34;My mother gave me this one as an easy way to dump dinner in a pot and be done with it. It is a simple meal. Serve with crackers or cornbread.&#34;,18.6g,"['1 pound ground beef', '1 onion, chopped', '2 green bell peppers, chopped', '5 (15 ounce) cans kidney beans with liquid', '1 (28 ounce) can whole peeled tomatoes, with liquid', '1/4 teaspoon chili powder']",28.3g,3.73,53,Slow Cooker Chili Recipe - Allrecipes.com
193,524kcal,42.1g,"&#34;You can make this chili in about half-an-hour using ground beef and ground sausage cooked with canned kidney beans, corn, and chili seasoning.&#34;",29.5g,"['1 pound ground beef', '1 pound ground sausage', '2 (15.25 ounce) cans whole kernel corn, drained', '2 (15 ounce) cans kidney beans, rinsed and drained', '2 (1.25 ounce) packages chili seasoning mix']",27.3g,0.00,0,Simply Quick Chili Recipe - Allrecipes.com
194,312kcal,35.8g,"&#34;Beef, chili beans, and a special surprise ingredient give this chili a savory flavor unrivaled by other chilis. Serve topped with diced raw onion, sour cream, and shredded Cheddar cheese for a mouth-watering delight! Believe it or not, the secret is the ketchup (NOT catsup) that adds just the right flavor to the sauce; use more or less as desired. Use sauteed fresh mushrooms for a special treat! Seasonings may be added to taste. If you want it really hot, use hot chili beans and add more chili powder and cayenne pepper or include hot peppers!&#34;",10.7g,"['2 pounds lean ground beef', '1 large sweet onion (such as Vidalia&#174;), diced', '1 tablespoon garlic powder', '2 (15 ounce) cans whole tomatoes, cut into chunks', '2 (15 ounce) cans mild chili beans', '1 (15 ounce) can tomato sauce', '1 (15 ounce) can kidney beans, drained and rinsed', '1 cup ketchup', '1 (6 ounce) can tomato paste', '2 (6 ounce) jars mushrooms, drained', '1/4 cup chili powder, or to taste', '2 teaspoons white sugar (optional)', '1 1/2 teaspoons salt', '1 teaspoon ground black pepper']",23.2g,3.00,1,Thick and Savory Chili Recipe - Allrecipes.com
195,224kcal,27.2g,"&#34;A spicy but flavorful chili recipe. Trust me, you won't miss the meat!  We love to pair this with one of favorite microbrews.&#34;",10g,"['1/3 cup olive oil', '2 cups sliced fresh mushrooms', '1 cup finely chopped onion', '1 cup chopped carrot', '3/4 cup chopped green bell pepper', '1/4 cup chopped celery', '1 tablespoon minced garlic', '1 tablespoon chili powder, or more to taste', '1 tablespoon ground cumin', '1 1/8 teaspoons salt', '3/4 teaspoon ground black pepper', '3/4 teaspoon dried basil', '3/4 teaspoon dried oregano', '1 (28 ounce) can whole peeled tomatoes with juice', '3 cups black beans, undrained', '1/2 (6 ounce) can tomato paste', '1/4 cup red wine', '3/4 teaspoon hot pepper sauce (such as Tabasco&#174;)', '2 cups water']",8.1g,4.79,117,Pub-Style Vegetarian Chili Recipe - Allrecipes.com
196,383kcal,27.9g,&#34;This chili hits the spot a cold night!&#34;,16.3g,"['1 pound ground lamb', '1 yellow onion, diced', '2 garlic cloves, minced', '1 (14.5 ounce) can diced tomatoes, undrained', '1 (14.5 ounce) can black beans, rinsed and drained', '2 teaspoons hot pepper sauce (such as Tabasco&#174;), or to taste', '2 cups beef stock']",29.2g,0.00,0,Lamb and Black Bean Chili Recipe - Allrecipes.com
197,826kcal,26.8g,"&#34;Super spicy chili con carne!  Serve over spaghetti or some other type of pasta, topped with shredded Colby cheese and additional chopped onions if desired.   This comes out almost black in color and is VERY HOT!&#34;",58.1g,"['2 pounds lean ground beef', '2 onions, minced', '35 black peppercorns', '6 bay leaves, crushed', '4 whole dried red chile peppers, seeded and diced', '1/4 teaspoon crushed red pepper flakes', '2 cloves garlic', '1 (6 ounce) can tomato paste', '3 cups water', '4 tablespoons chili powder', '1 teaspoon ground cayenne pepper', '2 1/2 tablespoons distilled white vinegar', '1 1/2 teaspoons ground cinnamon', '1 1/2 teaspoons ground allspice', '1 teaspoon Worcestershire sauce', '1 teaspoon salt', '1 cup shredded Colby cheese']",51.6g,4.50,9,Skyline Chili II Recipe - Allrecipes.com
198,409kcal,26.4g,"&#34;A thick, meaty chili with a little kick. This killer recipe is easy although has a bit of extra prep because of all the meats in it. You can adjust the heat temperature based on how much fresh habanero you add.&#34;",21.3g,"['4 slices hickory-smoked bacon', '3/4 pound ground beef', '1 pound bulk pork sausage', '3/4 pound cubed beef stew meat', '1 1/2 cups chopped onion', '2 cloves garlic, minced', '1 stalk celery, chopped', '1/2 habanero pepper, seeded and minced, or to taste', '1/2 large green bell pepper, chopped', '1/2 large red bell pepper, chopped', '1 (28 ounce) can tomato sauce', '1 1/2 teaspoons ground cumin', '2 cups cubed cooked chicken', '3 (14.5 ounce) cans fire-roasted diced tomatoes, with juice', '1 (15 ounce) can cannellini beans, rinsed and drained', '1 (15 ounce) can pinto beans, rinsed and drained', '1 (15 ounce) can butter beans, rinsed and drained', 'salt and pepper to taste', '3/4 cup sour cream (optional)']",26.7g,4.65,25,Five Meat Habanero Chili Recipe - Allrecipes.com
199,451kcal,36.2g,&#34;A hearty chili with a little kick and a German twist.&#34;,26.8g,"['2 1/2 pounds fresh bratwurst links, cut into 1-inch slices', '2 tablespoons bacon drippings, divided', '1 large onion, diced', '1 green bell pepper, diced', '2 jalapeno peppers, diced', '4 cloves garlic, minced', '2 cups sauerkraut, drained', '2 (15 ounce) cans red beans, drained and rinsed', '2 (15 ounce) cans petite diced tomatoes', '1 (28 ounce) can crushed tomatoes', '2 (15 ounce) cans tomato sauce', '2 (12 fluid ounce) cans tomato juice', '1 (12 fluid ounce) can or bottle German-style beer', '1 tablespoon salt', '1 tablespoon black pepper', '1 tablespoon cumin', '1/4 cup chili powder', '3 tablespoons white sugar', '2 teaspoons garlic powder', '2 teaspoons paprika', '1 teaspoon allspice', '1 teaspoon oregano', '2 1/2 ounces milk chocolate candy']",16.6g,4.48,21,Oktoberfest Chili Recipe - Allrecipes.com
200,330kcal,28.4g,"&#34;Beef chili soup, packed with flavor is delicious over rice and topped with cheese or sour cream. Great for company, camping, and freezing. Serve soup over rice. Top soup with sour cream, Monterey Jack cheese, and tortilla chips if desired.&#34;",14.7g,"['3 tablespoons olive oil', '1 pound rump roast, cut into small cubes', '2 onions, chopped', '4 cloves garlic, crushed', '2 tablespoons chili powder', '1 teaspoon ground cumin', '1 teaspoon ground coriander', '1 teaspoon cayenne pepper (optional)', '2 bay leaves', '3 1/2 cups beef stock', '1/2 (10 ounce) can enchilada sauce', '1 (4 ounce) can diced green chile peppers', '3 ounces tomato paste', '2 (15 ounce) cans pinto beans, drained']",22.3g,5.00,2,Mexican Chili Soup Recipe - Allrecipes.com
201,547kcal,56.8g,"&#34;This one-skillet chili mac is on the table in less than half an hour, and it's loaded with family favorite flavors.&#34;",22.7g,"['8 ounces elbow macaroni', '1 pound lean ground beef', '1 (24 ounce) jar Ragu&#174; Old World Style&#174; Traditional Pasta Sauce', '1 1/2 tablespoons chili powder', '1 teaspoon ground cumin', '1 (14.5 ounce) can diced tomatoes with green chile peppers', '1 (15.25 ounce) can whole kernel corn, drained', '1 1/2 cups shredded Cheddar cheese, divided', 'Chopped green onions, for garnish']",30.8g,4.80,4,Family Favorite Chili Mac Recipe - Allrecipes.com
202,260kcal,21.3g,"&#34;A rich and delicious chili soup with many layers of flavors, that does not include tomatoes, pepper skins or seeds, but packs plenty of heat.  Adjust seasoning to your own taste, and serve with cheese if desired.&#34;",12.7g,"['6 tablespoons butter', '2 tablespoons all-purpose flour', '1/2 teaspoon ground white pepper', '4 teaspoons salt, divided', '2 tablespoons brown sugar', '1 teaspoon ground cinnamon', '1/2 teaspoon ground nutmeg', '4 cups chicken broth', '1 (4 ounce) can green chiles, peeled and seeded, diced, liquid reserved.', '6 cloves garlic, crushed', '2 teaspoons chili powder, divided', '2 teaspoons cayenne pepper, divided', '1 tablespoon ground cumin', '1 tablespoon dried cilantro', '1 teaspoon ground coriander seed', '1 teaspoon dried oregano', '1 (15 ounce) can whole kernel corn, drained', '1 (15 ounce) can great Northern beans, rinsed and drained', '1 pound ground venison', '1 pound sliced bacon, diced', '1 red onion, chopped', '6 cloves garlic, minced']",16.4g,4.57,50,Venison-Bacon White Chili Recipe - Allrecipes.com
203,385kcal,19.8g,&#34;Paleo-friendly chili to be served over cilantro-lime cauliflower rice.&#34;,25.2g,"['3 tablespoons olive oil', '1 white onion, chopped', '2 teaspoons minced garlic', '1 teaspoon sofrito', '1 (20 ounce) package ground turkey', '1 (28 ounce) can whole peeled tomatoes', '1 cup water, plus more if desired', '3/4 (6 ounce) can tomato paste, divided', '1 cup chopped cashews', '2 teaspoons chili powder, or more to taste', '1 teaspoon ground cumin', '1 teaspoon unsweetened cocoa powder', '1 teaspoon sea salt, or to taste', '1 teaspoon ground black pepper, or to taste']",24.8g,0.00,0,Paleo Turkey-Cashew Chili Recipe - Allrecipes.com
204,98kcal,18.5g,"&#34;Delicious chili with tomatoes, onions, mushrooms, peppers, carrots, corn, and several kinds of beans. Great as a snack or as a whole meal. Can feed an army or keep for days. Serve with a sprinkling of cheese. You may also add a 12 ounce package of vegetarian burger crumbles after the ingredients come to a boil.&#34;",1.8g,"['1 tablespoon vegetable oil', '3 cloves garlic, minced', '1 cup chopped onion', '1 cup chopped carrots', '1 cup chopped green bell pepper', '1 cup chopped red bell pepper', '2 tablespoons chili powder', '1 1/2 cups chopped fresh mushrooms', '1 (28 ounce) can whole peeled tomatoes with liquid, chopped', '1 (15 ounce) can black beans, undrained', '1 (15 ounce) can kidney beans, undrained', '1 (15 ounce) can pinto beans, undrained', '1 (15 ounce) can whole kernel corn, drained', '1 tablespoon cumin', '1 1/2 tablespoons dried oregano', '1 1/2 tablespoons dried basil', '1/2 tablespoon garlic powder']",4.4g,4.53,209,Veggie Vegetarian Chili Recipe - Allrecipes.com
205,521kcal,78.2g,&#34;This is a lovely variation of chicken chili. More a bean soup with chicken and chili seasonings.&#34;,4.8g,"['1 tablespoon olive oil', '4 skinless, boneless chicken breast halves - cubed', 'coarsely ground black pepper to taste', '1 large onion, chopped', '6 cloves garlic, minced', '3 green chile peppers, seeded and minced', '1 green bell pepper, chopped', '1 red bell pepper, chopped', '1 (8 ounce) package mushrooms, sliced', '3 (15 ounce) cans pinto beans', '4 green onions, chopped', '1 bunch fresh parsley, chopped', '1 cup white wine', '2 (14.5 ounce) cans chicken broth', '2 cubes chicken bouillon', '1 teaspoon dried rosemary', '1 teaspoon dried thyme', '1 tablespoon dried oregano', '1 1/2 tablespoons ground cumin', '2 bay leaves']",39.2g,4.67,49,White Chili IV Recipe - Allrecipes.com
206,270kcal,29.7g,"&#34;Favorite family chili recipe, handed down to me by my mother.&#34;",6.5g,"['1 pound ground turkey', '1 cup chopped onion', '3/4 cup chopped green bell pepper', '1 clove garlic, minced', '2 (14.5 ounce) cans red kidney beans, undrained', '1 (16 ounce) can diced tomatoes', '1 (8 ounce) can tomato sauce', '2 teaspoons chili powder', '1/2 teaspoon dried basil', '1/2 teaspoon salt', '1/4 teaspoon ground black pepper']",24.1g,4.60,5,Family Favorite Slow Cooker Turkey Chili Recipe - Allrecipes.com
207,160kcal,21g,&#34;This soup is so yummy on a cold day.&#34;,1.1g,"['1 3/4 pounds diced chicken breast meat', '2 green bell peppers, diced', '2 red bell peppers, diced', '1 onion, diced', '1/2 cup frozen corn kernels', '4 (15 ounce) cans kidney beans with liquid', '2 (14.5 ounce) cans diced tomatoes', '1 (15 ounce) can tomato sauce', '2 cups water', '2 teaspoons chili powder', '1 tablespoon dried parsley', '1 teaspoon garlic powder', '1/2 teaspoon ground cayenne pepper', '1/2 teaspoon ground cumin']",16.5g,4.64,99,Chicken Chili Soup Recipe - Allrecipes.com
208,214kcal,22.2g,"&#34;This is just the best tasting chili.  My family prefers it over beef chili.  I like to put out toppings such as chopped onion, cilantro, chopped bell pepper, cheese, and sour cream and let everyone serve themselves.&#34;",5.8g,"['2 pounds ground turkey', '1 (28 ounce) can crushed tomatoes', '1 (15 ounce) can tomato sauce', '1 (15.5 ounce) can kidney beans, rinsed and drained', '1 (15.5 ounce) can pinto beans, rinsed and drained', '1 (15.5 ounce) can black beans, rinsed and drained', '1/2 cup chopped onion', '1 clove garlic, minced', '1/4 cup red wine', '2 tablespoons chili powder', '1 teaspoon ground cumin', '1 teaspoon dried parsley', '1 teaspoon dried oregano', '1/2 teaspoon black pepper', '1/4 teaspoon crushed red pepper flakes (optional)', '2 bay leaves']",19.6g,4.54,57,The Best Turkey Chili Recipe - Allrecipes.com
209,370kcal,42.4g,"&#34;This is so incredibly easy, and I have made it numerous times. I love making this for freezer meals and passing it along to my friends with new babies. This makes a great freezer meal; you can add all ingredients into a freezer bag before or after cooking and freeze.&#34;",10.3g,"['1 teaspoon vegetable oil', '2 skinless, boneless chicken breast halves', '2 cups chicken broth', '1 (15 ounce) can black beans, rinsed and drained', '1 (15 ounce) can cannellini beans, drained and rinsed', '1 (14.5 ounce) can diced tomatoes, drained and rinsed', '1/2 yellow onion, chopped', '1 1/2 tablespoons chili powder, or more to taste', '1 clove garlic, minced', '1/2 teaspoon ground cumin', '1/2 teaspoon paprika', '1/2 teaspoon mustard powder', '1/2 teaspoon garlic powder', '1 dash hot sauce (such as Cholula&#174;), or to taste', '1 pinch salt and ground black pepper to taste', '1/2 cup sour cream']",25.9g,4.27,9,Slow Cooker Chicken Chili Recipe - Allrecipes.com
210,397kcal,32.5g,&#34;This Recipe can easily be multiplied and freezes well.&#34;,19.3g,"['5 tablespoons vegetable oil', '2 large onions, chopped', '1 chile pepper, chopped', '5 cloves garlic, chopped', '2 pounds lean ground beef', '3 (14.5 ounce) cans whole peeled tomatoes with liquid, chopped', '1 1/2 teaspoons salt', '1 teaspoon freshly ground black pepper', '1 1/2 tablespoons ground cumin', '1/2 tablespoon chili powder', '2 tablespoons paprika', '2 tablespoons dried oregano', '2 cinnamon sticks', '6 whole cloves', '2 (15.25 ounce) cans red kidney beans, rinsed and drained']",23.9g,4.45,187,Chili con Carne II Recipe - Allrecipes.com
211,529kcal,45.5g,"&#34;This is a great and simple chili, full of flavor, and plenty of spice.  It's best when refrigerated overnight and reheated before the game. One tip: season meat heavily with chili powder, cumin, salt and pepper while browning. &#34;",24.5g,"['1 pound ground beef', '1 pound ground pork', '2 tablespoons olive oil', '1 large onion, chopped, divided', '1 green bell pepper, chopped', '1 habanero peppers, seeded and minced', '2 jalapeno pepper, seeded and minced', '3 cloves garlic, minced', '3 tablespoons chopped green onion', '3 (15 ounce) cans chili beans', '1 (14.5 ounce) can diced tomatoes', '1 (6 ounce) can tomato paste', '1 (8 ounce) can tomato sauce', '1 (12 ounce) bottle lager-style beer', '2 tablespoons cornmeal', '1 cup water', '1/4 cup chili powder', '1 tablespoon ground cumin', '1 teaspoon garlic powder', '1/2 teaspoon cayenne pepper', '1 tablespoon salt', '1 1/2 teaspoons ground black pepper', '1 cup shredded Cheddar cheese']",35.5g,4.79,172,Wazzu Tailgate Chili Recipe - Allrecipes.com
212,259kcal,25.7g,"&#34;Ground turkey is simmered with bell peppers, garlic, tomatoes, kidney and pinto beans, jalapenos, chili powder, and onions in this easy chili. Add chopped onions, cheese, and crackers, if desired, to top it off before you eat. Enjoy.&#34;",7.7g,"['2 pounds ground turkey', '1 (28 ounce) can stewed tomatoes', '3 stalks celery, chopped', '1 (15 ounce) can kidney beans, undrained', '1 (15 ounce) can pinto beans, undrained', '1 1/2 white onion, chopped', '1 green bell pepper, chopped', '1 red bell pepper, chopped', '1 cup water, or as needed', '1 (6 ounce) can tomato paste', '1 jalapeno pepper, seeded and minced', '1 tablespoon white sugar', '1 teaspoon crushed garlic', '1 tablespoon chili powder', 'salt and ground black pepper to taste']",23.9g,4.00,1,Haighter's 19th Hole Chili Recipe - Allrecipes.com
213,189kcal,32.6g,&#34;Lentils are cooked in a flavorful chili along with carrots and celery.&#34;,3.1g,"['1 tablespoon olive oil', '1 tablespoon butter', '4 cups chopped onion', '1 bulb garlic cloves, chopped', '1 (16 ounce) package dry lentils', '1 (6 ounce) can tomato paste', '1 (14.5 ounce) can crushed tomatoes', '2 quarts water', '2 tablespoons chili powder', '1 tablespoon cumin', '1 dash paprika', 'salt to taste', 'black pepper to taste', '2 cups sliced carrots', '2 cups sliced celery']",10.9g,4.34,81,Lentil Chili II Recipe - Allrecipes.com
214,366kcal,25.7g,&#34;Quick and easy with little fuss. I used to spend a lot of time simmering and seasoning and this tastes the same! Serve with shredded cheddar on top and a loaf of French or Italian bread. Salad on the side and you have a meal! &#34;,18.6g,"['1 pound ground beef', '1 (16 ounce) can chili beans, undrained', '1 (14.5 ounce) can peeled and diced tomatoes with juice', '1 small onion, chopped', '1/4 cup chopped green bell pepper']",26g,4.10,8,Easy Chili II Recipe - Allrecipes.com
215,802kcal,49.7g,&#34;This is an excellent chili recipe for game meats. You can easily substitute venison with buffalo or boar as well.&#34;,36.9g,"['4 tablespoons unsalted butter', '1 red onion, chopped', '4 cloves garlic, minced', '4 tablespoons dark brown sugar', '3 cups red wine', '4 tablespoons red wine vinegar', '4 tablespoons tomato paste', '4 cups low-sodium chicken broth', '1 teaspoon ground cumin', '1/2 teaspoon cayenne pepper', '1/2 teaspoon chili powder', '2 tablespoons chopped fresh cilantro', 'salt to taste', '4 tablespoons canola oil', '10 slices cooked bacon, diced', '2 pounds venison stew meat, trimmed and finely diced', '2 cups black beans, cooked and drained']",49.2g,4.54,102,Venison Chili Recipe - Allrecipes.com
216,454kcal,36.7g,"&#34;This colorful recipe is a modified version of my mom's chili that I grew up on. It is called 4 way because of the four steps to making your plate: spaghetti first, then crushed crackers, next cheese, and finally the chili. I added the peppers, but the recipe is still great (and faster) without them. To heat things up, just add hot sausage and/or hot chili seasoning packs instead of mild. It is an off-beat recipe that I am sure you will love!&#34;",23.8g,"['1 pound lean ground beef', '1 pound mild pork sausage', '1 large red onion, chopped', '1 green bell pepper, seeded and diced', '1 red bell pepper, seeded and diced', '1 yellow bell pepper, seeded and diced', '2 (14.5 ounce) cans Mexican-style stewed tomatoes', '2 (15 ounce) cans pinto beans, drained', '2 (1.25 ounce) packages chili seasoning mix', '1 (8 ounce) package angel hair pasta', '1 (4 ounce) packet saltine crackers', '2 cups shredded Cheddar cheese']",25g,4.71,14,Josh's Four-Way Chili Recipe - Allrecipes.com
217,370kcal,40g,"&#34;Spicy beef, onion, and beer chili recipe I picked up while in Alabama. Many people have asked me for the recipe so I'm posting it here. Enjoy! Adjust the amount of jalapenos and other spicy things to suit your taste.&#34;",14.2g,"['2 pounds ground beef chuck', '2 large white onions, chopped', '2 (14.5 ounce) cans diced tomatoes with juice', '2 (15 ounce) cans tomato sauce', '1 (12 fluid ounce) can beer', '2 (15 ounce) cans spicy chili beans', '1/4 cup Worcestershire sauce', '3 tablespoons hot pepper sauce (e.g. Tabasco&#8482;), or to taste', '1/3 cup chili powder', '4 fresh jalapeno peppers, seeded and chopped', '3 tablespoons red pepper flakes, or to taste (optional)']",23.2g,4.62,97,Frank's Spicy Alabama Onion Beer Chili Recipe - Allrecipes.com
218,360kcal,30g,&#34;This chili is so easy and very tasty.&#34;,16.6g,"['1 pound lean ground beef', '1 white onion, chopped', '1 (15 ounce) can tomato sauce', '2 cups water', '1 (15 ounce) can ranch-style beans', '1 (15 ounce) can kidney beans', '1 (4 ounce) can chopped green chile peppers', '2 tablespoons chili powder', '1 tablespoon garlic powder', '1/4 teaspoon ground cumin', '1/4 teaspoon Cajun seasoning']",22.8g,4.56,43,Quick Chili II Recipe - Allrecipes.com
219,544kcal,36.8g,"&#34;The first time I tried this chili I was floored! It has wonderful flavors, and is very spicy and very addictive. If you don't like heat, adjust the ingredients. It's perfect at a football tailgate party or picnic. If you like a roasted flavor, bake the garlic before pressing it. For the beer, a hoppy pale ale works well, as does a dark stout. I've also experimented with adding a cup of coffee to the mix to give it a roasted coffee flavor. It also freezes well.&#34;",29.5g,"['2 tablespoons vegetable oil', '2 yellow onions, chopped', '1 sweet onion, chopped', '1 head garlic, peeled and minced', '1 yellow bell pepper, chopped', '1 orange bell pepper, chopped', '2 pounds cubed beef stew meat', '2 pounds Italian sausage meat', '4 slices applewood smoked bacon, cut into 1-inch pieces', '2 (28 ounce) cans tomato sauce', '2 (6 ounce) cans tomato paste', '2 (14 ounce) cans black beans, rinsed and drained', '2 (14.5 ounce) cans kidney beans, rinsed and drained', '1 (7 ounce) can chipotle peppers in adobo sauce, chopped', '2 cups beef broth', '1 (12 fluid ounce) bottle dark beer', '1/4 teaspoon chili powder, or to taste', '1/4 cup crumbled dried oregano', '1 tablespoon fresh-ground black pepper', '2 teaspoons salt, or amount to taste', '2 1/2 ounces dark chocolate candy bar']",32.8g,4.36,21,Big Game Day Chili Recipe - Allrecipes.com
220,287kcal,34.2g,"&#34;The foods in this easy recipe are powerhouses of nutrition. Why this recipe is good for you: High antioxidants in tomatoes, corn and beans; High fiber in beans; Low in fat (20% of calories from fat); Beans help suppress blood sugar rises and may help combat diabetes and heart disease.&#34;",6.3g,"['1 tablespoon canola oil or extra virgin olive oil', '10 ounces boneless, skinless chicken breast, cut in bite-sized pieces', '1 1/2 tablespoons chili powder', '1 1/2 tablespoons cumin', '2 (14.5 ounce) cans no-salt-added diced tomatoes', '1 (15 ounce) can no-salt-added black or red beans', '1 (4.5 ounce) can minced green chilies', '1 cup yellow whole-kernel corn, frozen or canned', 'Salt and cayenne pepper, to taste']",23.5g,4.53,69,Fifteen Minute Chicken Chili Recipe - Allrecipes.com
221,385kcal,46.9g,"&#34;This is a wonderful chili recipe that I have used to win chili cook-offs in Indiana. It's hearty and spicy award winning chili that is sure to hit the spot on a cold winter's night. The key is in using name brand tomato soup, I have tried it with others but haven't gotten the same results. Your friends will never guess the secret ingredient. Enjoy!&#34;",13.3g,"['1 pound ground beef', '1 medium onion, chopped', '1 teaspoon red pepper flakes', '1 tablespoon ground cumin', '2 (10.75 ounce) cans  condensed tomato soup', '2 (14.5 ounce) cans chicken broth', '1 (14.5 ounce) can crushed tomatoes', '5 tablespoons chili powder', '1 teaspoon ground black pepper', '1 teaspoon salt', '2 (15.5 ounce) cans pinto beans, drained (optional)', 'cayenne pepper to taste']",23.9g,4.56,187,Justin's Hoosier Daddy Chili Recipe - Allrecipes.com
222,212kcal,8.6g,&#34;A culinary experience with a blend of spices and just the right flavor of down-home Texas goodness. Jalapenos may be added for a little more spice.&#34;,8.3g,"['3 quarts water', '6 onions, chopped', '9 pounds beef tri-tip sirloin, cut into 3/4-inch pieces', '2 (14.5 ounce) cans diced tomatoes', '2 (10 ounce) cans diced tomatoes with green chile peppers (such as RO*TEL&#174;)', '6 tablespoons paprika', '3 tablespoons chili powder', '3 tablespoons sugar', '3 tablespoons seasoned salt', '1 tablespoon garlic powder', '1 tablespoon cumin', '1 tablespoon dried marjoram', '1 tablespoon cayenne pepper', '1/2 cup cornmeal, or as needed']",24.9g,0.00,0,Willie's Chili Recipe - Allrecipes.com
223,600kcal,101.4g,"&#34;The extra step of roasting the sweet potatoes really concentrates the sweet, earthy flavors and gives the starchy chunks a marvelously meaty texture.&#34;",14.7g,"['2 pounds orange-fleshed sweet potatoes, peeled and cut into cubes', '1/2 teaspoon ground dried chipotle pepper', '1/2 teaspoon salt', '2 tablespoons olive oil, divided', '1 onion, diced', '4 cloves garlic, minced', '1 red bell pepper, diced', '1 jalapeno pepper, sliced', '2 tablespoons ancho chile powder, or to taste', '1 tablespoon ground cumin', '1/4 teaspoon dried oregano', '1 (28 ounce) can diced tomatoes', '1 cup water, or more as needed', '1 tablespoon cornmeal', '1 teaspoon salt, or to taste', '1 teaspoon white sugar', '1 teaspoon unsweetened cocoa powder', '2 (15 ounce) cans black beans, rinsed and drained', '1 pinch cayenne pepper, or to taste', '1/2 cup sour cream, for garnish (optional)', '1/4 cup chopped fresh cilantro, for garnish (optional)']",20.7g,4.74,225,Sweet Potato and Black Bean Chili Recipe - Allrecipes.com
224,339kcal,50.9g,"&#34;This delicious recipe is a snap to make and tastes delicious! It's vegan and vegetarian, but for those who like cheese, you can serve it topped with cheese, with crackers on the side.&#34;",4.6g,"['1 onion, chopped', '5 cloves crushed garlic', '1 stalk celery, chopped', '1 tablespoon olive oil', '8 ounces textured vegetable protein', '4 (16 ounce) cans chili beans', '1 (14.5 ounce) can stewed tomatoes', '4 cups water', '2 tablespoons brown sugar', 'salt and pepper to taste', '2 teaspoons chili powder']",35.9g,4.00,10,Easy Chili Recipe - Allrecipes.com
225,485kcal,30.5g,&#34;Good chili from the great ol' state of TEXAS. Hope you enjoy this favorite of our family.&#34;,21.7g,"['1 tablespoon olive oil', '1 red bell pepper, finely chopped', '1 yellow bell pepper, finely chopped', '1 green bell pepper, finely chopped', '1 orange bell pepper, finely chopped', '1 large red onion, finely chopped', '1 stalk celery, chopped', '2 pounds ground pork', '2 pounds ground beef', '8 serrano chile peppers, diced', '3 (14.5 ounce) cans diced tomatoes', '1 (4.5 ounce) can diced green chile peppers', '3 (6 ounce) cans tomato paste', '2 (15 ounce) cans kidney beans', '6 tablespoons minced garlic', '1 fluid ounce key lime juice', '4 fluid ounces tequila', '16 fluid ounces beer', '2 1/2 tablespoons chili powder', 'salt and pepper to taste']",33.9g,4.43,11,John's Chili Recipe - Allrecipes.com
226,620kcal,24.7g,&#34;You have never had chili like this before!  I am always being asked to make it for football games or just anytime friends and family get together!  It is a compilation of many recipes I have tried over the years. Betcha' you've never had chili like this before!&#34;,36.1g,"['1 pound hot or sweet Italian sausage', '1 pound ground beef', '1/2 onion, chopped', '1 1/2 pounds beef stew meat, cut into 1/2 inch pieces', '1 (28 ounce) can diced tomatoes', '1 (12 fluid ounce) bottle dark beer', '2 cups water', '1/4 cup chili powder, or to taste', '1/4 teaspoon red pepper', '1/4 teaspoon white pepper', '1/4 cup white sugar', '1/2 teaspoon ground cinnamon', 'salt and black pepper to taste', '3 tablespoons tomato paste (optional)', '1 (15 ounce) can kidney beans, rinsed and drained (optional)']",44.2g,4.06,16,Jen's Hearty Three Meat Chili Recipe - Allrecipes.com
227,272kcal,18.1g,"&#34;I'm on a constant quest to provide lean but still delicious food for my family. This is my most recent take on chili. Top with your favorite garnishes, or enjoy as is!&#34;",11.9g,"['cooking spray', '1 sweet onion (such as Vidalia&#174;), chopped', ""1 (15.5 ounce) can canned chili starter (such as BUSH'S Chili Magic&#174;)"", '2 tablespoons dried oregano', '2 cups chicken broth', '1/2 sweet onion (such as Vidalia&#174;), chopped', '1 green bell pepper, chopped', '1 jalapeno pepper, minced', '2 teaspoons ground cumin', '1 1/2 tablespoons unsweetened cocoa powder', '1 1/2 tablespoons chili powder', '2 teaspoons garlic salt', '2 teaspoons paprika', '1 teaspoon cayenne pepper', '1 1/4 pounds ground lean turkey', '1 pound lean ground pork', '1 (28 ounce) can diced tomatoes with green chile peppers (such as RO*TEL&#174;)', '1 (14.5 ounce) can fire-roasted diced tomatoes with garlic', '1 (14.5 ounce) can diced tomatoes with green peppers and onions']",23.3g,4.50,2,Turkey and Pork Chili Recipe - Allrecipes.com
